frame,read_ms,orange_ms,white_ms,qr_ms,motion_ms,save_img_ms,rename_file_ms,proc_ms,total_ms
177,399.3926,2.0589,0.0054,0.0172,0.0204,0.0475,0.0599,9.8960,409.2886
178,159.5321,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0132,159.5453
179,125.2573,0.3841,0.0007,0.0028,0.0046,0.0061,0.0095,1.9919,127.2492
180,137.6660,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0193,137.6853
181,141.4584,0.2624,0.0006,0.0031,0.0045,0.0136,0.0099,1.4807,142.9391
182,131.1895,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0193,131.2088
183,113.2517,0.1509,0.0009,0.0018,0.0036,0.0052,0.0057,0.7807,114.0324
184,75.3904,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0061,75.3965
185,77.5991,0.2523,0.0006,0.0046,0.0067,0.0112,0.0200,1.7922,79.3913
186,111.0604,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0333,111.0937
187,137.1547,0.2544,0.0004,0.0038,0.0066,0.0152,0.0148,2.0529,139.2076
188,176.5137,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0248,176.5385
189,151.9807,0.6316,0.0005,0.0047,0.0054,0.0111,0.0083,3.1639,155.1446
190,170.0238,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0325,170.0563
191,123.9684,0.1533,0.0003,0.0030,0.0027,0.0116,0.0090,1.3292,125.2976
192,133.0351,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0151,133.0502
193,135.1549,0.3827,0.0004,0.0034,0.0059,0.0103,0.0128,5.4073,140.5622
194,172.8563,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0155,172.8718
195,170.0318,0.3994,0.0004,0.0021,0.0027,0.0078,0.0079,6.8892,176.9210
196,153.9333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0237,153.9570
197,134.1560,0.2336,0.0008,0.0028,0.0082,0.0085,0.0120,1.5332,135.6892
198,133.0206,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0191,133.0397
199,122.4467,0.2191,0.0004,0.0043,0.0048,0.0142,0.0153,1.4099,123.8566
200,116.3048,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0141,116.3189
201,115.6495,0.1673,0.0005,0.0045,0.0022,0.0084,0.0107,1.4892,117.1387
202,117.8713,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0229,117.8942
203,105.4746,0.3907,0.0022,0.0054,0.0082,0.0099,0.0152,2.1465,107.6211
204,115.0294,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0176,115.0470
205,107.9272,0.7991,1.9980,0.0037,0.0070,0.0138,0.0094,4.0935,112.0207
206,120.1867,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0165,120.2032
207,118.8235,0.8148,2.1750,0.0039,0.0040,0.0137,0.0136,4.4284,123.2519
208,115.2300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0145,115.2445
209,116.6377,0.9813,2.0313,5.4539,0.0080,0.0135,0.0115,10.2327,126.8704
210,119.2290,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0224,119.2514
211,109.3203,0.5870,2.1064,6.3251,0.0178,56.5499,5.0786,72.3655,181.6858
212,117.3495,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0154,117.3649
213,103.3822,0.8717,2.2821,6.8995,0.0112,0.0108,0.0106,11.6304,115.0126
214,117.0813,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0328,117.1141
215,124.3779,1.3832,2.6619,0.0019,0.0091,0.0220,0.0177,5.9492,130.3271
216,115.0730,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0219,115.0949
217,135.9088,1.4560,2.6669,0.0014,0.0035,0.0113,0.0092,8.4742,144.3830
218,140.6347,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0263,140.6610
219,133.6538,0.5874,1.7958,0.0016,0.0026,0.0054,0.0081,3.5374,137.1912
220,109.0743,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0183,109.0926
221,110.2422,0.9830,2.1874,0.0032,0.0061,0.0114,0.0179,5.0265,115.2687
222,119.0689,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0083,119.0772
223,118.8390,0.8794,2.3324,0.0011,0.0026,0.0066,0.0121,4.5093,123.3483
224,116.6790,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0265,116.7055
225,112.0323,1.0967,2.8656,0.0013,0.0053,0.0096,0.0121,5.9806,118.0129
226,102.2566,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0444,102.3010
227,112.4745,1.2517,3.5409,0.0021,0.0080,0.0137,0.0162,6.9722,119.4467
228,109.4564,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0191,109.4755
229,106.1334,0.9704,2.9500,0.0014,0.0057,0.0105,0.0155,5.6941,111.8275
230,112.9686,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0193,112.9879
231,108.0157,0.8438,2.4339,0.0023,0.0056,0.0316,0.0145,5.0973,113.1130
232,98.9076,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0144,98.9220
233,110.4849,0.9165,2.6399,0.0026,0.0070,0.0106,0.0152,4.7341,115.2190
234,148.6081,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0142,148.6223
235,114.8454,1.1986,3.7116,0.0015,0.0059,0.0084,0.0121,6.1486,120.9940
236,115.8017,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0181,115.8198
237,98.4491,0.8722,2.4360,0.0012,0.0033,0.0123,0.0129,4.8659,103.3150
238,98.2525,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0151,98.2676
239,110.8453,0.6532,1.9758,0.0027,0.0077,0.0096,0.0123,3.6348,114.4801
240,114.7971,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0153,114.8124
241,103.9653,0.3666,1.0454,0.0007,0.0017,0.0034,0.0043,1.9282,105.8935
242,101.1045,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0069,101.1114
243,112.7249,0.6003,1.3276,0.0018,0.0043,0.0068,0.0089,2.6592,115.3841
244,99.9211,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0079,99.9290
245,108.9688,0.3714,2.9014,0.0013,0.0041,0.0075,0.0085,3.8896,112.8584
246,112.4527,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0071,112.4598
247,114.2840,0.8908,2.5221,0.0017,0.0057,0.0161,0.0152,5.0951,119.3791
248,104.2471,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0139,104.2610
249,104.3093,0.6365,3.0286,0.0035,0.0073,0.0085,0.0148,5.0252,109.3345
250,102.4625,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0068,102.4693
251,107.5917,0.6220,3.2414,0.0033,0.0080,0.0202,0.0187,5.0265,112.6182
252,107.2089,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0166,107.2255
253,120.5434,0.6356,1.6980,0.0034,0.0091,0.0093,0.0151,3.7100,124.2534
254,117.6784,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0197,117.6981
255,118.5519,0.6417,1.7252,0.0079,0.0043,0.0091,0.0103,3.6104,122.1623
256,110.6777,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0183,110.6960
257,113.6096,1.2495,3.4785,0.0050,0.0059,0.0147,0.0139,6.2424,119.8520
258,102.3738,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0141,102.3879
259,105.8823,0.4891,1.6009,0.0037,0.0035,0.0130,0.0087,3.1915,109.0738
260,105.2694,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0099,105.2793
261,105.0575,0.6260,1.5260,0.0023,0.0036,0.0060,0.0065,3.0241,108.0816
262,74.3639,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0134,74.3773
263,100.7750,0.4538,1.4592,0.0020,0.0041,0.0084,0.0101,2.6459,103.4209
264,116.9392,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0480,116.9872
265,116.0792,0.7567,1.9673,0.0046,0.0059,0.0087,0.0130,3.9903,120.0695
266,111.3862,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0252,111.4114
267,117.2314,0.5707,1.9577,0.0046,0.0057,0.0089,0.0105,3.6698,120.9012
268,107.2732,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0127,107.2859
