frame,read_ms,orange_ms,white_ms,qr_ms,motion_ms,save_img_ms,rename_file_ms,proc_ms,total_ms
202,61.6963,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0129,61.7092
203,60.0895,0.9314,0.2311,0.0015,0.0022,0.0026,0.0062,2.7777,62.8672
204,59.7230,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0096,59.7326
205,60.2140,0.9147,0.2642,0.0014,0.0021,0.0032,0.0060,2.5253,62.7393
206,70.8962,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0161,70.9123
207,60.7435,1.1994,0.2580,0.0020,0.0024,0.0030,0.0065,2.8733,63.6168
208,60.3935,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0091,60.4026
209,59.7552,0.9252,0.3642,3.9095,0.0025,0.0029,0.0068,6.6919,66.4471
210,60.3896,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0108,60.4004
211,59.2944,0.9043,0.3183,4.0925,0.0032,0.0027,0.0066,6.7180,66.0124
212,78.5139,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0132,78.5271
213,59.2092,0.9045,0.3379,3.9411,0.0030,0.0028,0.0166,6.8829,66.0921
214,59.6542,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0160,59.6702
215,94.0141,0.9450,0.3362,3.3088,0.0027,0.0028,0.0065,6.0029,100.0170
216,100.4874,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0108,100.4982
217,108.1152,0.9350,0.3190,3.8893,0.0024,0.0027,0.0071,6.8041,114.9193
218,77.2296,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0101,77.2397
219,87.2041,0.8922,0.2979,3.3564,0.0029,0.0029,0.0056,6.3393,93.5434
220,127.7242,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0115,127.7357
221,102.0554,0.9229,0.3158,4.2912,0.0027,0.0029,0.0075,7.0484,109.1038
222,73.5911,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0111,73.6022
223,90.7504,0.9618,0.2992,3.8109,0.0032,0.0029,0.0067,6.4800,97.2304
224,88.0632,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0089,88.0721
225,119.2888,0.8505,0.2837,19.8395,0.0159,0.0202,0.0432,24.0777,143.3665
226,122.6570,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0104,122.6674
227,93.4135,1.0733,0.3198,4.2489,0.0026,0.0039,0.0068,7.1182,100.5317
228,85.2764,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0099,85.2863
229,113.9958,0.8806,0.2975,4.5806,0.0027,0.0030,0.0068,7.2204,121.2162
230,103.2112,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0133,103.2245
231,92.3401,0.9076,0.2797,4.9100,0.0029,0.0027,0.0074,7.5885,99.9286
232,88.4714,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0107,88.4821
233,91.9787,0.9031,0.2765,4.8566,0.0029,0.0028,0.0064,7.4477,99.4264
234,88.5900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0111,88.6011
235,100.3585,0.9487,0.2702,4.8716,0.0030,0.0029,0.0075,7.5084,107.8669
236,83.6805,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0120,83.6925
237,118.2695,0.9059,0.2783,4.8379,0.0034,0.0035,0.0060,7.4328,125.7023
238,83.3159,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0078,83.3237
239,91.9264,0.9824,0.3120,4.9022,0.0024,0.0035,0.0064,7.6539,99.5803
240,81.8905,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0093,81.8998
241,94.3139,1.2045,0.2685,4.9054,0.0026,0.0028,0.0059,7.8021,102.1160
242,105.3196,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0102,105.3298
243,102.5579,1.0147,0.2735,6.1952,0.0031,0.0031,0.0067,9.0134,111.5713
244,79.5065,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0118,79.5183
245,88.9641,1.5630,0.4492,6.3727,0.0031,0.0031,0.0078,10.4148,99.3789
246,71.9899,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0092,71.9991
247,90.2930,0.8856,0.2702,4.8269,0.0026,0.0029,0.0061,6.9847,97.2777
248,96.5433,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0167,96.5600
249,84.2440,1.0721,0.2664,5.1587,0.0033,0.0022,0.0067,7.7803,92.0243
250,73.4298,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0122,73.4420
251,56.4783,0.9985,0.2871,6.1420,0.0028,0.0030,0.0068,8.7740,65.2523
252,78.0046,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0089,78.0135
253,68.1696,0.9720,0.2785,6.4978,0.0024,0.0031,0.0071,9.3246,77.4942
254,57.5634,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0094,57.5728
255,57.8835,1.1054,0.2851,6.7866,0.0025,0.0028,0.0078,9.5785,67.4620
256,57.9526,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0131,57.9657
257,56.9976,1.0131,0.3341,6.1684,0.0025,0.0032,0.0074,8.8754,65.8730
258,57.1980,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0091,57.2071
259,55.6364,0.8515,0.2921,6.5622,0.0028,0.0035,0.0073,9.0858,64.7222
260,57.3289,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0173,57.3462
261,114.2132,0.8558,0.2798,7.0799,0.0029,0.0033,0.0073,9.5336,123.7468
262,56.8383,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0109,56.8492
